onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
9	4	50.0	32.0	39.5	74.0	17.0	clip_1
37	8	32.5	37.5	41.0	64.0	63.0	clip_2
58	4	28.0	61.5	43.0	60.5	24.0	clip_3
80	4	18.0	35.0	40.5	72.5	23.5	clip_4
104	10	31.0	27.0	37.5	64.5	49.5	clip_5
134	7	26.0	38.5	38.5	58.0	29.5	clip_6
155	5	61.0	69.5	38.0	75.0	28.5	clip_7
188	6	57.5	64.5	21.0	96.5	96.5	clip_8
209	8	49.5	29.0	24.5	62.5	18.0	clip_9
237	8	55.0	71.5	42.5	78.5	26.0	clip_10
279	9	32.0	69.0	58.0	64.5	27.5	clip_11
307	5	50.0	73.0	67.5	78.0	23.0	clip_12
358	6	57.0	70.5	52.5	83.5	66.0	clip_13
374	9	30.5	33.0	32.0	67.5	38.0	clip_14
395	9	23.5	13.5	17.5	78.5	21.5	clip_15
432	8	21.5	0.0	53.0	81.5	25.0	clip_16
488	5	21.0	10.5	57.0	76.0	29.0	clip_17
512	8	60.5	42.0	61.5	90.5	17.0	clip_18
535	5	60.0	35.5	64.0	79.0	22.5	clip_19
576	6	71.5	42.5	68.5	48.5	22.5	clip_20
