onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
27	7	25.0	23.0	40.0	65.0	49.0	clip_1
55	6	26.5	26.5	37.5	37.5	17.0	clip_2
80	8	30.0	65.5	59.0	31.5	39.5	clip_3
103	6	14.5	47.0	50.0	15.0	75.5	clip_4
135	8	7.0	31.5	61.0	47.5	58.5	clip_5
184	6	19.5	33.0	70.5	37.5	55.0	clip_6
224	8	23.5	30.0	73.0	50.0	49.5	clip_7
251	10	0.0	0.0	58.0	1.5	37.5	clip_8
282	8	11.5	31.5	31.5	48.0	48.5	clip_9
316	5	31.0	57.5	40.0	60.0	27.5	clip_10
354	8	29.0	38.5	69.0	45.5	27.5	clip_11
372	6	23.5	45.0	41.0	53.5	32.5	clip_12
405	5	0.0	0.0	46.0	4.0	72.5	clip_13
442	7	0.0	16.5	68.0	25.0	50.5	clip_14
485	5	0.0	24.0	66.5	25.5	48.5	clip_15
