onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
4	5	28.0	63.5	48.0	40.0	24.0	clip_1
44	6	13.5	13.5	17.5	61.0	72.5	clip_2
71	6	54.5	71.0	51.5	61.0	18.5	clip_3
118	8	58.0	68.5	60.0	66.0	33.5	clip_4
142	7	59.5	72.0	36.5	56.0	6.5	clip_5
168	5	66.5	60.5	70.0	64.0	36.5	clip_6
201	8	67.0	67.0	60.5	66.0	13.5	clip_7
232	6	29.5	59.5	38.0	52.5	12.0	clip_8
267	8	53.0	60.0	44.5	42.5	20.0	clip_9
308	7	49.5	70.5	40.5	53.0	15.5	clip_10
341	10	39.0	62.0	26.0	74.5	14.0	clip_11
404	9	100.0	83.0	20.0	87.5	13.5	clip_12
440	8	33.0	84.5	67.5	40.5	15.5	clip_13
473	7	72.0	72.0	77.0	54.0	17.5	clip_14
510	9	86.0	81.5	33.0	60.5	16.0	clip_15
547	4	84.5	80.0	60.0	64.0	20.0	clip_16
596	9	28.0	57.5	66.0	70.5	33.0	clip_17
638	6	17.0	26.5	40.5	71.0	65.0	clip_18
662	5	21.5	37.5	71.0	65.0	61.5	clip_19
690	8	37.0	37.0	63.5	50.5	70.0	clip_20
720	7	32.5	32.5	63.0	59.0	69.0	clip_21
750	8	50.0	50.0	68.5	67.0	25.0	clip_22
777	5	27.0	63.0	64.5	68.5	22.0	clip_23
799	5	64.0	66.5	45.0	65.0	10.5	clip_24
