onset	duration	Move	Agent	Good	Stop	Calm	trial
1	5	68.0	71.0	25.5	75.0	37.5	clip_1
26	5	44.0	18.5	51.5	36.5	52.0	clip_2
51	6	33.0	69.0	63.0	28.5	69.0	clip_3
65	6	44.5	73.0	53.0	45.5	45.5	clip_4
99	9	41.5	62.5	53.0	45.5	50.0	clip_5
132	8	42.0	48.0	52.5	37.5	53.5	clip_6
210	8	59.0	79.0	29.5	78.0	36.5	clip_7
240	9	44.0	67.0	39.5	44.5	50.0	clip_8
263	5	58.0	23.0	52.0	40.5	51.0	clip_9
296	9	44.0	31.0	50.5	37.5	52.5	clip_10
328	6	42.5	35.0	57.5	45.0	57.5	clip_11
376	8	45.0	63.5	57.5	43.0	57.5	clip_12
393	11	42.5	35.5	56.0	48.0	55.5	clip_13
422	9	62.5	72.0	30.5	80.0	32.5	clip_14
466	5	60.0	71.0	36.0	38.0	43.0	clip_15
535	8	60.0	73.0	31.5	78.5	34.0	clip_16
551	8	67.0	87.5	21.5	80.0	22.0	clip_17
574	6	55.5	25.5	42.0	52.5	37.5	clip_18
599	7	50.0	31.0	62.5	33.0	58.0	clip_19
641	8	44.5	67.0	67.0	25.5	73.0	clip_20
