onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
9	4	21.5	52.5	52.5	47.5	32.5	clip_1
37	8	50.0	32.5	76.0	35.5	50.0	clip_2
58	4	27.0	49.0	23.0	50.0	51.0	clip_3
80	4	45.0	50.0	78.5	47.5	49.5	clip_4
104	10	57.5	35.0	47.0	29.5	51.0	clip_5
134	7	48.0	48.0	48.0	31.5	51.0	clip_6
155	5	33.0	47.0	22.0	50.0	52.5	clip_7
188	6	50.0	48.5	15.0	52.5	25.5	clip_8
209	8	50.0	50.0	50.0	67.0	61.5	clip_9
237	8	61.0	49.0	49.0	62.0	40.5	clip_10
279	9	38.5	50.0	88.5	55.0	43.0	clip_11
307	5	41.5	61.0	46.5	60.5	47.5	clip_12
358	6	67.5	61.5	18.0	69.5	79.0	clip_13
374	9	100.0	47.0	1.5	51.5	70.0	clip_14
395	9	46.5	14.5	84.5	21.5	73.5	clip_15
432	8	86.5	37.0	86.0	61.0	70.0	clip_16
488	5	80.0	50.5	15.5	50.0	65.5	clip_17
512	8	50.0	64.5	86.5	100.0	75.5	clip_18
535	5	50.0	51.0	0.0	96.0	59.0	clip_19
576	6	50.0	71.0	32.5	100.0	75.0	clip_20
