onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
4	5	42.5	47.5	47.5	47.5	19.0	clip_1
44	6	86.0	0.0	51.5	0.0	74.0	clip_2
71	6	1.5	49.5	12.0	48.5	6.0	clip_3
118	8	22.5	49.5	90.5	46.5	0.0	clip_4
142	7	15.5	53.0	0.0	49.0	18.5	clip_5
168	5	17.5	45.5	78.0	59.5	47.0	clip_6
201	8	46.5	38.0	14.5	34.0	32.5	clip_7
232	6	56.0	46.0	0.0	51.0	40.5	clip_8
267	8	69.5	63.0	77.5	61.0	65.5	clip_9
308	7	20.0	79.0	61.0	65.0	50.0	clip_10
341	10	30.5	51.5	100.0	40.5	28.0	clip_11
404	9	19.5	70.0	32.0	83.0	37.5	clip_12
440	8	20.0	62.5	17.0	56.0	35.5	clip_13
473	7	0.0	77.0	90.5	86.0	51.0	clip_14
510	9	0.0	100.0	26.0	100.0	62.0	clip_15
547	4	0.0	100.0	47.0	100.0	43.5	clip_16
596	9	78.5	64.5	0.0	52.5	61.5	clip_17
638	6	45.5	26.5	97.5	7.5	78.5	clip_18
662	5	50.0	50.0	11.0	22.0	80.0	clip_19
690	8	11.5	30.0	78.0	12.5	49.5	clip_20
720	7	68.0	36.0	84.0	33.5	69.0	clip_21
750	8	33.0	32.5	69.5	0.0	67.5	clip_22
777	5	44.5	30.5	77.0	25.0	66.0	clip_23
799	5	0.0	46.0	97.5	42.5	12.5	clip_24
