onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
30	6	59.0	65.0	15.0	66.0	60.0	clip_1
50	7	50.0	66.0	67.5	75.0	56.0	clip_2
71	5	0.0	53.5	100.0	49.5	0.5	clip_3
98	10	45.5	60.5	4.5	51.5	45.0	clip_4
128	5	46.0	77.0	50.0	50.0	35.5	clip_5
152	7	50.0	17.5	88.0	18.5	21.0	clip_6
195	8	21.0	0.0	77.5	23.0	30.5	clip_7
221	9	43.0	19.5	66.5	21.0	38.0	clip_8
255	5	27.5	49.5	100.0	46.5	21.0	clip_9
298	10	50.5	27.5	51.5	41.5	35.0	clip_10
336	4	18.0	49.5	10.5	54.0	47.5	clip_11
350	9	48.0	49.0	81.5	51.0	13.0	clip_12
376	9	23.5	34.5	82.0	25.5	37.5	clip_13
428	10	0.0	27.5	96.0	32.5	28.5	clip_14
455	4	23.5	61.5	20.5	53.0	20.5	clip_15
484	8	64.0	49.5	0.0	48.5	54.0	clip_16
510	10	70.0	52.5	19.0	53.0	59.0	clip_17
532	8	71.0	54.0	85.5	69.0	59.5	clip_18
553	7	21.5	37.0	77.0	68.0	50.0	clip_19
582	8	15.5	49.5	56.5	30.0	50.5	clip_20
