onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
3	7	74.5	92.0	100.0	82.0	0.0	clip_1
44	7	13.5	21.0	32.0	7.0	28.0	clip_2
76	5	22.0	28.0	35.0	10.5	25.0	clip_3
95	8	57.5	59.5	75.5	21.0	17.5	clip_4
139	8	59.5	41.5	35.5	15.0	28.0	clip_5
193	9	62.5	68.0	68.0	10.5	24.5	clip_6
230	7	62.5	62.5	70.0	8.0	12.0	clip_7
270	10	63.5	78.0	88.5	33.5	10.0	clip_8
316	9	39.5	32.0	32.0	18.5	10.5	clip_9
360	8	29.0	29.0	79.5	32.0	28.0	clip_10
420	10	82.5	85.5	93.5	66.0	6.5	clip_11
466	8	36.0	36.0	62.5	33.0	23.5	clip_12
493	8	36.5	27.5	45.0	29.5	11.5	clip_13
525	9	61.0	61.0	72.0	64.5	26.0	clip_14
559	5	32.0	25.5	20.0	12.5	37.5	clip_15
576	8	69.5	74.0	100.0	68.5	17.0	clip_16
590	4	50.0	61.0	73.0	34.5	25.0	clip_17
628	8	56.5	37.0	74.0	63.5	30.5	clip_18
653	5	41.0	32.0	34.5	25.0	22.5	clip_19
670	6	34.5	34.5	34.5	21.0	33.5	clip_20
689	3	61.0	61.0	93.0	32.5	23.0	clip_21
721	6	75.5	75.5	94.0	81.0	5.5	clip_22
737	5	83.0	83.0	100.0	62.5	20.0	clip_23
766	8	73.0	82.0	90.5	68.0	0.0	clip_24
