onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
16	5	21.5	3.0	90.5	23.0	12.0	clip_1
45	6	6.0	1.5	21.5	28.5	68.0	clip_2
80	6	60.5	25.5	59.0	70.5	0.0	clip_3
110	7	0.0	13.5	6.0	6.0	69.0	clip_4
140	6	67.5	41.5	78.0	35.5	26.5	clip_5
173	7	60.0	64.5	62.0	70.0	30.0	clip_6
193	6	74.0	80.5	90.0	90.5	0.0	clip_7
225	5	64.0	51.5	51.5	51.5	24.0	clip_8
243	5	69.5	33.0	36.0	29.0	52.0	clip_9
250	8	67.5	77.0	88.5	33.5	76.0	clip_10
270	4	0.0	22.0	69.0	0.0	80.0	clip_11
310	6	80.0	80.0	77.0	64.5	42.0	clip_12
328	10	29.0	29.0	42.5	28.0	5.5	clip_13
360	6	34.0	30.5	59.0	24.0	14.0	clip_14
397	7	67.0	67.0	67.0	35.5	49.5	clip_15
440	5	0.0	18.0	7.5	1.0	0.0	clip_16
452	8	7.0	26.5	20.5	20.5	4.5	clip_17
478	6	12.0	21.5	36.0	0.0	21.5	clip_18
