onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
27	7	11.0	36.5	92.0	37.0	50.5	clip_1
55	6	5.5	5.5	29.0	38.0	49.0	clip_2
80	8	12.0	25.0	33.5	63.0	33.0	clip_3
103	6	5.0	30.0	38.0	32.0	32.0	clip_4
135	8	62.0	67.5	67.5	63.0	0.0	clip_5
184	6	80.5	72.0	61.5	45.5	0.0	clip_6
224	8	66.5	59.5	68.0	82.0	13.0	clip_7
251	10	38.0	36.5	62.0	35.0	11.5	clip_8
282	8	0.0	13.0	74.0	31.5	21.5	clip_9
316	5	0.0	12.5	35.0	25.5	51.5	clip_10
354	8	14.0	23.5	36.5	52.0	49.5	clip_11
372	6	0.0	13.5	64.0	38.5	27.5	clip_12
405	5	8.5	30.0	39.5	56.0	0.0	clip_13
442	7	26.5	36.5	36.5	60.5	0.0	clip_14
485	5	20.0	27.5	74.0	49.0	49.5	clip_15
