onset	duration	Care	Disgust	Regard	Undo	Move	trial
19	5	97.0	40.0	43.5	78.5	78.5	clip_1
60	6	97.0	97.0	97.0	97.0	97.0	clip_2
95	5	96.0	96.0	25.0	96.0	96.0	clip_3
131	5	50.0	50.0	50.0	50.0	50.0	clip_4
147	6	78.0	43.5	43.5	65.5	65.5	clip_5
176	6	84.5	50.0	72.5	66.0	66.0	clip_6
210	5	91.0	91.0	22.0	61.5	61.5	clip_7
233	5	84.5	84.5	14.5	80.5	80.5	clip_8
255	7	59.0	59.0	51.5	55.0	55.0	clip_9
286	6	100.0	58.5	58.5	100.0	100.0	clip_10
343	5	50.0	50.0	50.0	50.0	50.0	clip_11
385	8	74.5	74.5	85.0	85.0	85.0	clip_12
412	8	100.0	100.0	100.0	100.0	100.0	clip_13
465	7	99.5	80.5	80.5	80.5	80.5	clip_14
518	6	53.5	53.5	53.5	53.5	53.5	clip_15
555	5	100.0	30.5	79.5	79.5	79.5	clip_16
594	7	100.0	0.0	73.5	73.5	73.5	clip_17
611	7	100.0	30.5	72.0	72.0	72.0	clip_18
633	7	100.0	15.0	40.5	100.0	100.0	clip_19
666	4	93.0	18.5	80.0	80.0	80.0	clip_20
701	9	99.0	55.0	55.0	100.0	100.0	clip_21
740	8	100.0	48.5	80.0	80.0	91.5	clip_22
778	9	100.0	67.5	77.0	100.0	100.0	clip_23
799	7	100.0	50.5	72.5	72.5	96.5	clip_24
839	5	93.5	93.5	93.5	100.0	100.0	clip_25
894	6	98.0	52.0	83.5	100.0	100.0	clip_26
962	7	100.0	41.5	100.0	100.0	100.0	clip_27
1002	8	100.0	39.0	86.5	86.5	100.0	clip_28
1022	5	100.0	64.5	79.5	100.0	100.0	clip_29
