onset	duration	Care	Disgust	Regard	Undo	Move	trial
15	6	97.5	78.5	55.5	79.0	79.0	clip_1
38	6	50.0	50.0	50.0	50.0	50.0	clip_2
94	5	77.0	47.5	60.5	60.5	60.5	clip_3
160	8	98.5	55.0	80.0	80.0	75.0	clip_4
190	6	83.5	62.0	69.5	90.5	90.5	clip_5
225	7	58.0	58.0	58.0	45.0	45.0	clip_6
265	7	63.0	38.5	68.0	52.5	52.5	clip_7
298	7	97.0	65.0	31.0	81.0	81.0	clip_8
371	7	79.0	32.5	90.0	90.0	90.0	clip_9
420	5	100.0	34.0	67.5	75.5	75.5	clip_10
452	6	50.0	50.0	50.0	50.0	50.0	clip_11
510	6	81.0	22.5	47.5	53.0	53.0	clip_12
536	6	100.0	34.0	67.5	67.5	67.5	clip_13
575	7	100.0	60.5	60.5	92.5	92.5	clip_14
593	7	97.5	56.5	56.5	89.5	89.5	clip_15
633	7	98.0	66.5	50.0	79.5	79.5	clip_16
663	7	96.0	28.0	34.5	97.5	97.5	clip_17
706	7	100.0	40.0	76.5	62.0	78.0	clip_18
