onset	duration	Care	Disgust	Regard	Undo	Move	trial
27	7	39.5	23.5	46.5	46.5	46.5	clip_1
55	6	29.5	20.0	39.5	39.5	32.5	clip_2
80	8	25.5	25.5	45.5	24.0	24.0	clip_3
103	6	21.5	21.5	30.0	30.0	30.0	clip_4
135	8	28.5	28.5	29.0	33.0	33.0	clip_5
184	6	50.0	44.5	44.5	53.5	49.0	clip_6
224	8	37.5	37.5	44.0	39.0	39.0	clip_7
251	10	43.0	35.0	35.0	40.5	40.5	clip_8
282	8	35.5	35.5	35.5	30.5	25.5	clip_9
316	5	30.5	25.0	25.0	25.0	25.0	clip_10
354	8	27.0	27.0	27.0	27.0	27.0	clip_11
372	6	50.0	53.0	50.0	42.5	42.5	clip_12
405	5	58.5	61.0	49.0	49.0	49.0	clip_13
442	7	39.0	40.5	40.5	37.0	37.0	clip_14
485	5	67.5	41.0	41.0	36.5	36.5	clip_15
