onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
1	5	45.5	45.5	45.5	55.0	55.0	clip_1
26	5	50.0	50.0	50.0	50.0	50.0	clip_2
51	6	50.0	50.0	50.0	50.0	50.0	clip_3
65	6	47.0	0.0	52.5	41.0	100.0	clip_4
99	9	50.0	50.0	50.0	50.0	77.5	clip_5
132	8	50.0	50.0	50.0	50.0	98.0	clip_6
210	8	36.0	0.0	62.0	60.5	70.0	clip_7
240	9	42.0	42.0	42.0	55.0	76.0	clip_8
263	5	43.0	43.0	43.0	54.0	57.5	clip_9
296	9	50.0	50.0	50.0	50.0	50.0	clip_10
328	6	50.0	50.0	50.0	50.0	50.0	clip_11
376	8	50.0	50.0	50.0	50.0	50.0	clip_12
393	11	42.5	53.5	53.5	74.5	74.5	clip_13
422	9	48.0	48.0	50.5	63.5	67.0	clip_14
466	5	48.0	48.0	51.5	57.5	65.5	clip_15
535	8	50.0	50.0	50.0	57.0	57.0	clip_16
551	8	31.0	54.0	54.0	76.5	76.5	clip_17
574	6	42.5	51.0	56.0	73.0	71.0	clip_18
599	7	58.5	38.0	57.5	37.0	68.0	clip_19
641	8	71.0	38.5	60.0	35.0	84.0	clip_20
