onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
19	5	50.0	0.0	0.0	0.0	0.0	clip_1
60	6	60.0	0.0	0.0	0.0	0.0	clip_2
95	5	0.0	0.0	0.0	0.0	0.0	clip_3
131	5	0.0	0.0	0.0	0.0	0.0	clip_4
147	6	0.0	0.0	0.0	0.0	0.0	clip_5
176	6	0.0	0.0	0.0	0.0	0.0	clip_6
210	5	50.0	0.0	71.0	0.0	0.0	clip_7
233	5	50.0	50.0	13.5	0.0	0.0	clip_8
255	7	23.0	0.0	0.0	0.0	0.0	clip_9
286	6	0.0	0.0	0.0	0.0	0.0	clip_10
343	5	0.0	0.0	0.0	0.0	0.0	clip_11
385	8	50.0	50.0	0.0	0.0	0.0	clip_12
412	8	0.0	0.0	0.0	0.0	0.0	clip_13
465	7	50.0	50.0	11.5	0.0	0.0	clip_14
518	6	50.0	50.0	50.0	0.0	0.0	clip_15
555	5	50.0	40.5	0.0	0.0	0.0	clip_16
594	7	0.0	0.0	0.0	0.0	0.0	clip_17
611	7	0.0	0.0	0.0	0.0	0.0	clip_18
633	7	74.0	0.0	0.0	0.0	0.0	clip_19
666	4	50.0	0.0	0.0	0.0	0.0	clip_20
701	9	66.5	0.0	0.0	0.0	0.0	clip_21
740	8	76.0	0.0	0.0	0.0	0.0	clip_22
778	9	70.0	0.0	0.0	0.0	0.0	clip_23
799	7	58.0	0.0	0.0	0.0	0.0	clip_24
839	5	0.0	0.0	0.0	0.0	0.0	clip_25
894	6	0.0	0.0	0.0	0.0	0.0	clip_26
962	7	0.0	0.0	0.0	0.0	0.0	clip_27
1002	8	64.0	0.0	0.0	0.0	56.0	clip_28
1022	5	56.0	0.0	0.0	0.0	57.5	clip_29
