onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
15	9	0.0	0.0	0.0	0.0	17.0	clip_1
35	5	0.0	0.0	0.0	0.0	100.0	clip_2
63	6	10.5	0.0	0.0	0.0	0.0	clip_3
116	7	11.5	0.0	0.0	0.0	0.0	clip_4
162	8	9.0	0.0	0.0	0.0	0.0	clip_5
185	7	12.0	0.0	0.0	0.0	0.0	clip_6
203	5	0.0	0.0	0.0	0.0	25.5	clip_7
248	7	0.0	0.0	0.0	0.0	100.0	clip_8
286	8	0.0	0.0	0.0	0.0	51.5	clip_9
333	7	3.0	0.0	0.0	0.0	0.0	clip_10
360	7	4.0	0.0	0.0	0.0	6.5	clip_11
383	7	0.0	49.5	0.0	0.0	0.0	clip_12
412	6	0.0	0.0	0.0	0.0	0.0	clip_13
470	9	6.0	0.0	0.0	0.0	24.0	clip_14
517	6	8.0	0.0	0.0	0.0	100.0	clip_15
543	7	7.0	41.0	0.0	0.0	0.0	clip_16
584	8	0.0	0.0	0.0	0.0	0.0	clip_17
627	6	44.0	50.5	0.0	8.0	0.0	clip_18
648	6	10.5	0.0	0.0	0.0	0.0	clip_19
694	7	0.0	0.0	0.0	0.0	0.0	clip_20
743	8	0.0	0.0	0.0	0.0	56.5	clip_21
785	7	8.5	0.0	0.0	0.0	32.5	clip_22
801	6	0.0	0.0	0.0	12.0	44.5	clip_23
