onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
27	7	0.0	0.0	5.0	0.0	0.0	clip_1
55	6	0.0	0.0	0.0	0.0	0.0	clip_2
80	8	0.0	15.0	0.0	16.0	0.0	clip_3
103	6	0.0	0.0	0.0	14.0	0.0	clip_4
135	8	0.0	0.0	0.0	0.0	0.0	clip_5
184	6	0.0	0.0	0.0	0.0	0.0	clip_6
224	8	11.5	0.0	0.0	0.0	0.0	clip_7
251	10	0.0	0.0	0.0	0.0	0.0	clip_8
282	8	0.0	0.0	0.0	0.0	0.0	clip_9
316	5	0.0	24.0	0.0	0.0	0.0	clip_10
354	8	0.0	0.0	0.0	0.0	0.0	clip_11
372	6	0.0	0.0	0.0	0.0	0.0	clip_12
405	5	0.0	0.0	0.0	0.0	6.0	clip_13
442	7	0.0	0.0	0.0	0.0	0.0	clip_14
485	5	0.0	0.0	0.0	0.0	0.0	clip_15
