onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
6	5	18.0	48.5	22.5	48.0	30.0	clip_1
29	5	15.5	51.0	71.5	49.0	14.0	clip_2
60	6	54.0	47.0	0.0	47.5	21.5	clip_3
82	7	47.0	46.5	88.5	17.0	28.0	clip_4
113	6	43.0	41.5	84.0	44.5	31.0	clip_5
134	6	57.5	0.0	88.0	0.0	64.0	clip_6
166	9	89.5	52.0	18.5	21.0	57.0	clip_7
196	8	47.5	47.5	18.0	22.0	48.0	clip_8
239	8	43.0	12.0	56.5	15.0	57.5	clip_9
267	9	48.0	21.5	76.0	28.0	33.0	clip_10
307	10	62.0	30.5	71.5	77.0	27.5	clip_11
352	8	59.5	34.5	49.5	28.0	51.0	clip_12
392	6	46.0	0.0	96.5	0.0	60.0	clip_13
405	7	54.0	24.5	74.5	23.0	57.5	clip_14
443	8	58.5	59.0	10.0	46.0	56.0	clip_15
507	9	38.0	50.0	76.0	34.0	27.5	clip_16
532	7	57.0	20.5	75.5	18.5	59.5	clip_17
570	7	55.5	47.5	0.0	56.5	49.0	clip_18
598	9	58.0	15.0	75.5	24.0	42.0	clip_19
645	8	73.5	49.5	11.5	35.0	56.5	clip_20
674	5	44.5	41.0	0.0	44.5	30.0	clip_21
707	9	71.0	24.5	68.5	28.0	57.5	clip_22
740	7	49.5	53.0	80.5	36.0	62.0	clip_23
776	10	50.0	7.0	75.0	15.0	47.5	clip_24
803	5	50.0	0.0	58.5	0.0	56.0	clip_25
829	7	45.5	45.5	67.0	31.0	29.0	clip_26
864	6	48.0	31.0	76.5	41.5	32.0	clip_27
910	8	14.0	88.0	38.0	85.5	54.5	clip_28
955	10	59.5	46.5	7.5	56.5	84.5	clip_29
972	7	49.5	49.0	79.0	51.0	87.5	clip_30
986	6	45.5	47.5	0.5	56.5	100.0	clip_31
