onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
30	6	16.5	52.5	80.0	6.5	100.0	clip_1
50	7	13.0	52.5	25.5	12.5	100.0	clip_2
71	5	5.5	14.0	14.0	4.0	52.0	clip_3
98	10	7.0	20.0	65.5	27.0	49.5	clip_4
128	5	36.0	26.5	19.0	19.0	74.0	clip_5
152	7	44.0	53.0	48.0	32.0	28.5	clip_6
195	8	59.0	65.5	65.5	65.5	36.5	clip_7
221	9	55.5	55.5	62.5	75.0	19.5	clip_8
255	5	31.5	21.0	24.0	10.5	50.5	clip_9
298	10	32.5	24.5	46.0	33.0	33.5	clip_10
336	4	19.5	30.0	30.0	20.5	69.5	clip_11
350	9	29.5	23.5	68.5	40.0	52.0	clip_12
376	9	71.5	81.0	81.0	81.0	9.5	clip_13
428	10	8.0	25.5	32.0	22.0	65.5	clip_14
455	4	6.0	22.5	9.5	17.0	89.5	clip_15
484	8	5.0	33.0	18.0	8.0	95.5	clip_16
510	10	2.0	40.0	30.5	8.0	100.0	clip_17
532	8	0.0	36.5	19.5	8.0	100.0	clip_18
553	7	10.0	53.0	64.5	31.5	89.5	clip_19
582	8	7.5	22.0	36.0	17.5	87.5	clip_20
