onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
8	4	16.5	10.0	21.0	9.0	9.0	clip_1
51	8	13.5	22.5	22.5	15.0	52.0	clip_2
80	6	15.0	20.0	14.0	7.5	74.5	clip_3
108	6	8.0	8.0	8.0	8.0	82.0	clip_4
156	3	22.5	30.0	31.0	18.0	95.5	clip_5
209	5	12.0	17.5	11.5	11.5	70.0	clip_6
228	7	38.5	33.0	48.0	63.5	0.0	clip_7
252	6	70.0	70.0	70.0	82.5	0.0	clip_8
288	6	13.0	32.0	37.5	62.0	21.5	clip_9
330	6	6.5	37.0	51.0	67.5	22.5	clip_10
355	8	11.0	18.0	28.0	51.0	0.0	clip_11
390	6	4.5	16.0	10.5	72.0	5.0	clip_12
440	8	13.0	31.0	55.0	71.0	32.0	clip_13
468	9	4.0	18.0	34.5	71.5	20.5	clip_14
501	6	3.0	11.0	28.0	88.0	0.0	clip_15
543	6	6.0	41.5	64.0	100.0	0.0	clip_16
569	8	6.5	23.0	52.5	91.0	7.5	clip_17
611	8	16.0	6.0	16.5	33.5	56.5	clip_18
645	8	12.5	19.5	18.5	18.5	60.0	clip_19
675	8	9.0	24.0	11.0	20.0	64.5	clip_20
719	6	33.5	23.5	17.0	9.5	23.5	clip_21
762	8	31.5	18.0	18.0	11.0	58.5	clip_22
790	5	31.5	4.0	4.0	4.0	84.0	clip_23
