onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
9	4	0.0	41.0	35.5	7.5	52.0	clip_1
37	8	21.0	32.0	71.0	57.0	26.0	clip_2
58	4	10.0	19.0	91.0	26.5	48.0	clip_3
80	4	68.5	68.5	60.5	35.0	26.5	clip_4
104	10	81.5	67.5	60.0	46.0	21.0	clip_5
134	7	57.0	37.5	68.0	41.5	17.5	clip_6
155	5	29.5	29.5	29.5	15.0	53.0	clip_7
188	6	31.0	20.0	31.0	23.0	50.5	clip_8
209	8	36.0	48.0	70.0	41.0	65.5	clip_9
237	8	37.0	25.5	38.0	23.0	41.0	clip_10
279	9	24.0	17.5	9.5	9.5	27.0	clip_11
307	5	5.0	18.0	4.5	4.5	17.0	clip_12
358	6	12.0	20.0	6.0	6.0	16.5	clip_13
374	9	50.0	36.5	29.0	19.5	6.5	clip_14
395	9	32.0	41.0	21.5	12.5	8.5	clip_15
432	8	87.5	87.5	24.0	31.5	14.5	clip_16
488	5	91.5	91.5	18.0	12.0	25.0	clip_17
512	8	3.5	25.0	29.5	11.5	42.5	clip_18
535	5	3.5	29.0	20.0	13.0	90.5	clip_19
576	6	3.5	32.0	76.0	27.5	92.5	clip_20
