onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
15	6	26.0	54.5	31.0	38.5	12.5	clip_1
38	6	26.5	40.5	27.0	20.5	6.0	clip_2
94	5	20.5	47.0	30.5	20.5	7.0	clip_3
160	8	24.5	79.5	86.5	100.0	11.0	clip_4
190	6	38.0	53.0	77.0	100.0	29.0	clip_5
225	7	27.0	67.5	28.0	51.5	10.5	clip_6
265	7	12.5	86.0	64.5	78.0	2.0	clip_7
298	7	27.5	74.0	100.0	100.0	17.5	clip_8
371	7	19.5	57.0	33.5	69.5	3.5	clip_9
420	5	22.0	35.0	45.0	26.5	2.0	clip_10
452	6	22.0	31.5	21.5	15.0	0.0	clip_11
510	6	28.5	52.5	63.5	69.0	47.5	clip_12
536	6	24.5	51.5	63.0	66.5	4.0	clip_13
575	7	32.0	73.0	90.0	100.0	8.0	clip_14
593	7	29.0	43.5	83.0	93.0	30.0	clip_15
633	7	22.0	74.5	89.0	98.5	13.5	clip_16
663	7	29.5	42.5	63.5	76.0	90.0	clip_17
706	7	37.5	46.5	61.5	100.0	4.0	clip_18
