onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
16	5	27.0	46.0	71.5	59.0	9.0	clip_1
45	6	19.0	73.0	52.5	39.5	11.5	clip_2
80	6	31.0	75.0	79.5	79.5	4.5	clip_3
110	7	16.5	70.0	62.5	42.5	9.0	clip_4
140	6	27.0	66.5	51.0	30.0	4.5	clip_5
173	7	28.5	81.5	100.0	100.0	14.0	clip_6
193	6	26.0	79.0	89.5	70.5	5.0	clip_7
225	5	19.5	69.5	54.0	44.5	9.5	clip_8
243	5	25.5	61.0	47.5	35.5	7.5	clip_9
250	8	28.5	66.5	49.0	28.5	5.0	clip_10
270	4	39.0	61.0	48.5	64.5	33.0	clip_11
310	6	24.5	64.5	33.0	26.0	69.5	clip_12
328	10	27.0	83.0	97.5	86.0	11.5	clip_13
360	6	37.5	66.5	51.0	59.5	9.5	clip_14
397	7	28.0	87.5	80.0	80.0	10.5	clip_15
440	5	34.0	75.0	44.0	27.0	4.5	clip_16
452	8	25.5	58.5	77.0	73.0	23.5	clip_17
478	6	17.0	59.5	75.5	84.5	21.5	clip_18
