onset	duration	Move	Agent	Good	Stop	Calm	trial
27	7	73.5	33.0	35.5	60.5	38.0	clip_1
55	6	41.0	23.5	51.0	30.5	49.5	clip_2
80	8	59.0	67.0	35.5	66.5	47.0	clip_3
103	6	62.5	68.5	39.0	59.0	41.0	clip_4
135	8	60.5	19.5	45.0	58.5	45.0	clip_5
184	6	48.0	19.0	42.0	60.5	40.5	clip_6
224	8	33.0	38.5	34.5	57.0	42.5	clip_7
251	10	41.0	41.0	37.0	53.0	50.5	clip_8
282	8	44.0	28.5	54.0	45.0	53.5	clip_9
316	5	52.5	23.5	59.5	42.5	59.5	clip_10
354	8	57.0	32.0	42.0	53.0	44.0	clip_11
372	6	57.5	28.0	51.0	51.0	40.5	clip_12
405	5	63.0	25.5	19.5	71.0	32.0	clip_13
442	7	42.5	24.5	18.5	68.5	39.5	clip_14
485	5	41.0	20.0	32.5	40.5	48.5	clip_15
