onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
15	9	41.5	0.0	0.0	37.0	35.5	clip_1
35	5	0.0	0.0	0.0	0.0	0.0	clip_2
63	6	0.0	0.0	0.0	0.0	0.0	clip_3
116	7	0.0	0.0	0.0	10.5	3.5	clip_4
162	8	0.0	0.0	0.0	0.0	0.0	clip_5
185	7	0.0	0.0	0.0	0.0	0.0	clip_6
203	5	0.0	0.0	0.0	0.0	0.0	clip_7
248	7	0.0	0.0	0.0	0.0	0.0	clip_8
286	8	0.0	0.0	0.0	0.0	0.0	clip_9
333	7	0.0	0.0	0.0	0.0	0.0	clip_10
360	7	15.0	0.0	0.0	32.0	0.0	clip_11
383	7	12.0	0.0	12.0	0.0	0.0	clip_12
412	6	6.5	0.0	0.0	0.0	0.0	clip_13
470	9	0.0	0.0	0.0	0.0	0.0	clip_14
517	6	0.0	0.0	0.0	1.5	0.0	clip_15
543	7	30.0	0.0	0.0	0.0	0.0	clip_16
584	8	12.0	0.0	0.0	0.0	2.5	clip_17
627	6	0.0	0.0	0.0	0.0	3.5	clip_18
648	6	50.0	0.0	0.0	0.0	0.0	clip_19
694	7	0.0	0.0	0.0	0.0	0.0	clip_20
743	8	8.5	0.0	0.0	0.0	0.0	clip_21
785	7	0.0	0.0	0.0	0.0	0.0	clip_22
801	6	0.0	0.0	0.0	2.0	0.0	clip_23
