onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
27	7	72.5	72.5	57.5	44.5	45.0	clip_1
55	6	63.0	38.0	42.0	42.0	53.0	clip_2
80	8	52.5	56.0	52.0	64.0	49.5	clip_3
103	6	62.0	55.5	54.5	51.5	51.5	clip_4
135	8	58.5	57.5	49.5	49.5	49.5	clip_5
184	6	71.5	51.0	42.0	63.5	31.0	clip_6
224	8	58.5	58.5	37.5	37.5	35.0	clip_7
251	10	58.5	56.5	48.5	61.0	40.0	clip_8
282	8	68.5	53.0	53.0	50.5	37.5	clip_9
316	5	62.0	62.0	48.5	51.0	51.0	clip_10
354	8	63.0	58.5	53.5	32.5	42.5	clip_11
372	6	60.5	59.0	44.0	48.0	34.0	clip_12
405	5	55.5	58.5	43.0	43.0	42.5	clip_13
442	7	63.5	58.5	53.0	53.0	42.5	clip_14
485	5	58.5	59.5	32.0	67.5	37.0	clip_15
