onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
19	5	89.0	44.5	13.0	51.0	27.0	clip_1
60	6	0.0	100.0	0.0	71.0	80.0	clip_2
95	5	7.5	2.0	19.5	46.5	59.5	clip_3
131	5	24.5	40.0	0.0	51.0	27.5	clip_4
147	6	4.5	92.5	0.0	51.0	22.0	clip_5
176	6	11.0	97.5	2.5	2.5	46.5	clip_6
210	5	0.0	54.0	55.5	3.0	25.0	clip_7
233	5	6.0	50.5	5.0	50.5	10.5	clip_8
255	7	7.0	22.0	0.0	68.5	43.5	clip_9
286	6	87.0	52.5	90.0	10.5	49.5	clip_10
343	5	3.0	50.5	71.5	0.0	46.0	clip_11
385	8	7.0	80.5	92.5	24.0	72.5	clip_12
412	8	87.0	69.0	95.0	2.0	2.0	clip_13
465	7	95.0	44.0	78.5	1.5	1.5	clip_14
518	6	16.5	99.0	77.5	8.0	22.0	clip_15
555	5	50.0	88.0	17.5	0.0	31.0	clip_16
594	7	62.0	99.0	75.0	0.5	22.5	clip_17
611	7	4.0	100.0	63.0	3.0	41.5	clip_18
633	7	86.5	86.5	98.0	1.5	52.0	clip_19
666	4	2.0	100.0	83.5	5.5	0.0	clip_20
701	9	85.0	41.0	67.0	25.0	4.5	clip_21
740	8	72.5	45.0	7.0	0.0	19.5	clip_22
778	9	100.0	93.5	72.5	0.0	0.0	clip_23
799	7	63.0	72.5	92.0	2.5	35.5	clip_24
839	5	24.0	100.0	88.0	0.0	0.0	clip_25
894	6	71.0	80.5	92.0	1.5	1.5	clip_26
962	7	63.0	63.0	100.0	4.0	4.0	clip_27
1002	8	60.0	100.0	100.0	0.0	12.0	clip_28
1022	5	39.0	77.5	75.5	0.0	25.0	clip_29
