onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
9	4	72.5	0.0	67.0	0.0	100.0	clip_1
37	8	32.5	0.0	44.5	0.0	81.0	clip_2
58	4	36.0	0.0	61.0	0.0	100.0	clip_3
80	4	61.0	0.0	22.5	0.0	75.0	clip_4
104	10	73.5	0.0	58.5	0.0	84.5	clip_5
134	7	0.0	3.0	0.0	0.0	78.0	clip_6
155	5	48.0	0.0	49.5	0.0	79.0	clip_7
188	6	49.0	0.0	23.0	0.0	77.5	clip_8
209	8	71.5	0.0	55.5	0.0	84.0	clip_9
237	8	50.5	0.0	36.0	27.0	70.0	clip_10
279	9	36.5	0.0	30.0	13.5	73.0	clip_11
307	5	42.0	0.0	29.0	24.0	75.5	clip_12
358	6	37.5	0.0	35.5	5.0	50.5	clip_13
374	9	78.5	0.0	68.5	21.5	67.0	clip_14
395	9	65.0	0.0	65.5	14.0	74.5	clip_15
432	8	77.0	0.0	69.5	8.5	85.0	clip_16
488	5	73.5	0.0	65.5	3.5	71.0	clip_17
512	8	54.0	0.0	52.5	6.5	63.0	clip_18
535	5	43.0	0.0	40.5	11.5	61.5	clip_19
576	6	0.0	0.0	14.0	5.0	47.0	clip_20
