onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
1	5	67.0	24.0	66.5	77.5	100.0	clip_1
26	5	0.0	0.0	38.5	61.5	99.5	clip_2
51	6	0.0	0.0	0.0	21.0	100.0	clip_3
65	6	0.0	0.0	25.0	69.5	80.5	clip_4
99	9	0.0	0.0	0.0	40.5	48.0	clip_5
132	8	0.0	0.0	0.0	0.0	100.0	clip_6
210	8	83.5	30.5	65.5	78.5	75.5	clip_7
240	9	7.0	0.0	20.5	41.5	58.0	clip_8
263	5	18.5	0.0	11.5	25.5	58.5	clip_9
296	9	66.5	0.0	33.0	63.5	90.5	clip_10
328	6	0.0	0.0	0.0	0.0	75.5	clip_11
376	8	25.5	25.5	32.5	51.5	27.5	clip_12
393	11	31.5	25.0	31.0	50.5	41.5	clip_13
422	9	74.0	0.0	60.0	60.0	52.0	clip_14
466	5	72.0	27.5	61.0	69.0	69.0	clip_15
535	8	24.0	0.0	34.5	58.0	67.5	clip_16
551	8	79.5	20.5	100.0	85.5	100.0	clip_17
574	6	100.0	54.5	95.5	100.0	100.0	clip_18
599	7	70.0	48.5	62.0	84.5	100.0	clip_19
641	8	67.5	51.0	52.0	69.5	100.0	clip_20
