onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
2	6	48.0	48.0	48.0	49.5	34.5	clip_1
23	5	50.0	50.0	0.0	49.5	35.5	clip_2
66	6	48.0	48.0	100.0	49.0	22.5	clip_3
85	7	50.0	50.0	50.0	41.0	31.5	clip_4
106	6	30.5	51.0	90.5	42.0	37.5	clip_5
124	6	50.0	60.5	30.5	48.5	48.5	clip_6
148	6	18.5	74.0	46.5	61.0	31.0	clip_7
170	10	0.0	50.0	77.0	49.5	26.0	clip_8
195	10	50.0	24.0	76.0	13.5	59.5	clip_9
238	8	50.0	50.0	16.5	50.5	25.0	clip_10
264	8	33.5	46.0	46.5	0.0	70.0	clip_11
294	9	36.0	18.0	67.5	0.0	71.0	clip_12
335	8	44.0	0.0	87.5	0.0	72.0	clip_13
359	5	16.0	49.5	49.5	48.0	35.5	clip_14
395	6	33.0	48.0	24.0	49.0	33.5	clip_15
