onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
15	6	70.0	0.0	63.5	50.0	71.5	clip_1
38	6	68.0	0.0	58.0	49.0	62.0	clip_2
94	5	30.0	0.0	22.0	29.0	51.0	clip_3
160	8	23.0	0.0	44.0	63.5	100.0	clip_4
190	6	7.5	0.0	60.5	16.0	100.0	clip_5
225	7	0.0	0.0	32.0	0.0	100.0	clip_6
265	7	0.0	0.0	33.5	0.0	89.0	clip_7
298	7	72.0	0.0	81.5	82.5	100.0	clip_8
371	7	68.0	0.0	46.5	65.0	100.0	clip_9
420	5	17.0	0.0	57.5	80.5	100.0	clip_10
452	6	26.0	0.0	46.5	64.0	81.5	clip_11
510	6	65.5	0.0	49.0	62.0	54.0	clip_12
536	6	78.5	0.0	70.5	68.0	72.5	clip_13
575	7	47.5	0.0	73.5	62.0	42.5	clip_14
593	7	66.5	0.0	75.5	100.0	41.0	clip_15
633	7	73.5	52.0	64.5	92.0	62.5	clip_16
663	7	36.5	14.0	31.5	71.5	53.0	clip_17
706	7	9.5	23.5	19.5	52.0	95.0	clip_18
