onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
16	5	29.0	20.0	47.5	20.0	53.5	clip_1
45	6	0.0	0.0	44.5	0.0	100.0	clip_2
80	6	6.0	0.0	57.5	57.5	41.0	clip_3
110	7	0.5	0.5	45.0	6.0	73.0	clip_4
140	6	1.0	0.0	48.5	6.5	51.5	clip_5
173	7	23.5	24.0	58.0	31.0	66.0	clip_6
193	6	54.5	9.5	91.0	79.5	52.5	clip_7
225	5	76.0	28.0	85.5	89.5	100.0	clip_8
243	5	68.5	68.5	68.5	74.0	83.0	clip_9
250	8	42.0	0.0	31.0	49.0	65.0	clip_10
270	4	0.0	0.0	27.5	0.0	100.0	clip_11
310	6	69.0	68.0	61.0	49.5	53.5	clip_12
328	10	90.5	71.0	86.5	75.5	50.5	clip_13
360	6	62.5	66.0	43.0	70.0	53.0	clip_14
397	7	22.0	16.5	14.0	49.0	51.0	clip_15
440	5	100.0	54.0	100.0	91.0	70.5	clip_16
452	8	92.5	76.0	82.0	100.0	100.0	clip_17
478	6	62.5	87.5	71.0	84.5	34.0	clip_18
