onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
6	5	25.0	0.0	19.0	0.0	51.5	clip_1
29	5	6.0	0.0	6.5	0.0	51.0	clip_2
60	6	22.0	0.0	25.0	11.5	48.5	clip_3
82	7	25.5	0.0	30.0	0.0	49.5	clip_4
113	6	31.5	0.5	24.5	1.5	51.0	clip_5
134	6	58.0	0.0	54.5	48.0	57.5	clip_6
166	9	60.0	1.0	34.5	61.5	71.0	clip_7
196	8	31.5	0.0	21.0	54.0	62.0	clip_8
239	8	22.5	0.0	12.0	51.0	55.5	clip_9
267	9	17.5	0.0	13.5	52.5	44.5	clip_10
307	10	8.0	0.0	8.5	51.5	51.5	clip_11
352	8	39.5	0.0	16.0	60.5	62.5	clip_12
392	6	26.0	0.0	25.5	66.0	63.0	clip_13
405	7	29.0	0.0	23.5	67.5	63.5	clip_14
443	8	27.0	0.0	28.5	58.5	47.0	clip_15
507	9	14.5	0.0	8.0	50.0	50.0	clip_16
532	7	19.5	0.0	29.0	63.0	50.5	clip_17
570	7	17.5	0.0	7.0	49.0	45.0	clip_18
598	9	9.0	0.0	12.0	57.5	35.0	clip_19
645	8	19.0	0.0	15.0	59.5	51.5	clip_20
674	5	11.5	0.0	15.5	58.0	58.0	clip_21
707	9	28.5	0.0	35.0	70.0	51.5	clip_22
740	7	10.5	0.0	17.5	59.0	53.0	clip_23
776	10	13.5	0.0	30.0	71.5	66.0	clip_24
803	5	29.0	11.0	39.5	81.0	83.5	clip_25
829	7	11.0	0.0	21.5	41.5	52.0	clip_26
864	6	22.0	20.5	47.0	87.5	100.0	clip_27
910	8	5.5	0.0	15.0	40.5	82.0	clip_28
955	10	9.5	2.0	23.0	69.5	70.0	clip_29
972	7	36.5	6.0	48.5	88.0	93.5	clip_30
986	6	30.0	13.5	50.0	85.0	98.5	clip_31
