onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
2	6	6.0	0.0	22.5	39.5	68.0	clip_1
23	5	11.5	0.0	27.0	44.0	69.5	clip_2
66	6	18.5	0.0	33.0	73.5	84.0	clip_3
85	7	10.5	0.0	26.0	49.5	25.0	clip_4
106	6	0.0	0.0	23.0	20.0	11.0	clip_5
124	6	8.5	0.0	19.0	38.5	38.5	clip_6
148	6	0.0	0.0	9.0	0.0	30.5	clip_7
170	10	11.0	0.0	21.5	37.0	36.5	clip_8
195	10	16.0	0.5	13.5	52.0	52.0	clip_9
238	8	11.5	6.5	16.0	50.5	50.5	clip_10
264	8	44.5	68.0	58.5	100.0	87.0	clip_11
294	9	64.0	73.5	99.5	99.5	99.5	clip_12
335	8	91.0	75.5	95.0	100.0	100.0	clip_13
359	5	55.5	45.0	53.0	96.5	100.0	clip_14
395	6	24.5	0.0	51.5	62.0	89.5	clip_15
