onset	duration	Attention	Standards	Care	Alert	Urgency	trial
1	5	57.0	60.0	34.5	36.5	85.0	clip_1
26	5	50.0	50.0	7.0	29.5	4.5	clip_2
51	6	55.0	55.0	13.5	29.5	8.5	clip_3
65	6	54.5	54.5	8.5	28.0	5.5	clip_4
99	9	55.0	55.0	8.0	27.5	4.5	clip_5
132	8	56.5	56.5	9.0	26.0	4.5	clip_6
210	8	54.5	54.5	8.5	25.5	25.5	clip_7
240	9	57.0	57.0	9.0	26.5	4.0	clip_8
263	5	55.5	55.5	10.5	26.5	7.0	clip_9
296	9	57.0	59.5	10.0	24.5	5.5	clip_10
328	6	57.5	57.5	9.5	29.0	5.0	clip_11
376	8	58.5	58.5	7.0	26.0	4.5	clip_12
393	11	57.0	57.0	9.0	26.5	2.5	clip_13
422	9	59.5	59.5	17.5	27.5	51.0	clip_14
466	5	55.5	55.5	10.5	28.0	5.0	clip_15
535	8	56.5	56.5	9.5	25.5	2.5	clip_16
551	8	59.0	59.0	23.0	26.5	88.5	clip_17
574	6	58.5	58.5	22.5	28.5	87.5	clip_18
599	7	56.5	56.5	10.5	28.5	4.5	clip_19
641	8	57.0	57.0	13.5	26.0	5.0	clip_20
