onset	duration	Attention	Standards	Care	Alert	Urgency	trial
8	4	32.0	49.0	5.5	38.0	4.5	clip_1
51	8	30.5	49.0	6.5	44.0	4.5	clip_2
80	6	25.5	49.0	5.5	50.0	4.0	clip_3
108	6	24.5	51.5	6.5	53.0	4.5	clip_4
156	3	19.5	48.5	5.0	49.5	5.0	clip_5
209	5	20.5	47.5	7.5	50.0	6.5	clip_6
228	7	22.5	50.0	6.0	48.0	5.0	clip_7
252	6	21.0	49.5	8.0	62.0	3.5	clip_8
288	6	20.0	51.0	5.0	52.0	2.5	clip_9
330	6	21.0	49.5	5.5	51.5	4.0	clip_10
355	8	20.0	50.5	5.5	52.0	6.0	clip_11
390	6	20.0	51.0	5.5	50.0	4.0	clip_12
440	8	18.5	48.0	4.5	51.5	4.0	clip_13
468	9	21.5	52.0	5.5	51.0	4.5	clip_14
501	6	20.0	50.0	5.5	51.0	4.5	clip_15
543	6	20.0	50.0	7.0	51.0	4.5	clip_16
569	8	20.0	47.5	6.5	50.5	12.5	clip_17
611	8	21.0	51.0	6.0	50.5	5.0	clip_18
645	8	20.0	50.0	8.0	49.0	3.5	clip_19
675	8	21.0	49.0	5.5	53.0	5.0	clip_20
719	6	20.5	50.0	4.5	50.0	4.5	clip_21
762	8	20.5	50.0	7.0	49.0	6.5	clip_22
790	5	19.0	51.0	3.5	51.5	5.5	clip_23
