onset	duration	Attention	Standards	Care	Alert	Urgency	trial
30	6	30.5	49.0	5.5	37.5	4.0	clip_1
50	7	30.5	50.0	8.5	34.5	5.0	clip_2
71	5	29.5	49.0	8.5	32.5	4.0	clip_3
98	10	29.5	48.5	5.5	33.5	2.5	clip_4
128	5	28.0	48.0	6.0	30.0	3.5	clip_5
152	7	33.0	47.0	7.0	31.5	5.0	clip_6
195	8	31.5	50.5	7.5	34.0	7.0	clip_7
221	9	32.5	48.5	8.0	34.5	5.0	clip_8
255	5	31.0	48.5	9.0	30.0	5.0	clip_9
298	10	33.0	49.5	5.0	32.0	1.0	clip_10
336	4	31.5	49.0	8.5	31.0	4.5	clip_11
350	9	32.0	49.0	11.0	33.0	4.0	clip_12
376	9	34.0	48.5	6.5	31.5	7.5	clip_13
428	10	31.0	48.5	6.5	30.5	7.5	clip_14
455	4	29.5	47.0	6.5	30.0	7.5	clip_15
484	8	29.5	48.5	8.5	31.0	8.5	clip_16
510	10	31.5	50.0	12.0	30.5	6.5	clip_17
532	8	31.5	50.0	10.5	32.0	3.5	clip_18
553	7	32.0	46.0	9.5	32.5	5.0	clip_19
582	8	31.0	49.0	8.5	30.5	6.0	clip_20
