onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
16	5	0.0	0.0	0.0	0.0	0.0	clip_1
45	6	0.0	0.0	0.0	0.0	0.0	clip_2
80	6	57.5	0.0	28.5	33.0	18.5	clip_3
110	7	0.0	0.0	0.0	0.0	0.0	clip_4
140	6	0.0	0.0	100.0	0.0	75.0	clip_5
173	7	33.5	0.0	100.0	67.5	99.5	clip_6
193	6	68.0	0.0	100.0	73.0	100.0	clip_7
225	5	62.5	0.0	100.0	50.5	100.0	clip_8
243	5	29.5	0.0	77.0	30.0	53.0	clip_9
250	8	58.0	0.0	69.0	23.5	55.0	clip_10
270	4	0.0	0.0	0.0	0.0	0.0	clip_11
310	6	62.0	0.0	63.5	24.0	66.5	clip_12
328	10	63.0	0.0	100.0	57.5	100.0	clip_13
360	6	38.0	0.0	100.0	60.5	70.5	clip_14
397	7	30.0	0.0	100.0	59.5	65.5	clip_15
440	5	100.0	0.0	100.0	53.5	76.5	clip_16
452	8	100.0	0.0	100.0	60.0	85.5	clip_17
478	6	0.0	0.0	100.0	69.0	61.5	clip_18
