onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
1	5	32.5	57.0	66.0	42.5	0.0	clip_1
26	5	21.0	31.0	22.5	22.5	0.0	clip_2
51	6	40.5	58.0	27.0	26.5	1.0	clip_3
65	6	66.5	68.0	52.0	38.0	0.0	clip_4
99	9	19.5	9.5	35.0	20.5	0.5	clip_5
132	8	19.0	13.0	31.5	19.0	4.0	clip_6
210	8	29.0	41.0	25.5	15.0	0.0	clip_7
240	9	29.0	56.5	33.5	22.5	1.0	clip_8
263	5	32.5	56.0	43.5	27.0	9.5	clip_9
296	9	31.5	57.0	41.0	53.5	27.0	clip_10
328	6	33.0	60.0	51.0	43.5	10.0	clip_11
376	8	33.5	61.0	43.0	35.5	16.0	clip_12
393	11	30.5	54.0	31.5	41.0	4.5	clip_13
422	9	33.0	44.0	26.0	33.5	8.5	clip_14
466	5	32.0	28.5	43.5	32.5	8.0	clip_15
535	8	29.5	47.5	30.5	19.5	7.5	clip_16
551	8	29.5	69.0	79.5	23.0	7.0	clip_17
574	6	33.5	46.0	34.0	26.5	4.5	clip_18
599	7	39.5	53.5	31.5	61.5	43.0	clip_19
641	8	38.5	53.0	36.5	62.0	28.5	clip_20
