onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
4	5	15.0	61.5	38.0	5.5	0.0	clip_1
44	6	36.5	55.0	39.5	20.0	0.0	clip_2
71	6	39.5	23.5	14.0	4.5	0.0	clip_3
118	8	40.0	53.0	40.0	27.0	4.5	clip_4
142	7	0.0	59.5	10.0	0.0	0.0	clip_5
168	5	0.0	0.0	0.0	0.0	0.0	clip_6
201	8	21.0	78.0	0.0	0.0	0.0	clip_7
232	6	44.5	20.5	60.5	8.0	0.0	clip_8
267	8	41.0	58.0	28.5	15.5	3.0	clip_9
308	7	16.5	30.5	20.5	11.0	0.0	clip_10
341	10	68.5	50.5	60.5	20.5	0.0	clip_11
404	9	28.5	8.0	21.0	10.5	0.0	clip_12
440	8	22.5	60.5	13.5	6.0	0.0	clip_13
473	7	15.0	100.0	12.5	25.0	0.0	clip_14
510	9	34.5	51.5	32.0	24.0	0.0	clip_15
547	4	37.0	56.0	38.0	29.0	0.0	clip_16
596	9	34.0	63.0	35.0	16.0	0.0	clip_17
638	6	36.0	48.0	32.5	14.0	0.0	clip_18
662	5	41.5	59.0	66.0	66.0	0.0	clip_19
690	8	0.0	0.0	64.5	33.0	0.5	clip_20
720	7	26.5	36.0	21.5	14.0	0.0	clip_21
750	8	31.5	38.0	28.0	20.5	0.0	clip_22
777	5	42.0	54.0	36.5	23.5	0.0	clip_23
799	5	0.0	69.5	0.0	0.0	0.0	clip_24
