onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
15	9	55.5	79.5	79.5	51.5	24.5	clip_1
35	5	66.5	66.5	96.5	55.0	52.5	clip_2
63	6	30.5	76.5	70.5	31.0	15.5	clip_3
116	7	34.0	46.0	40.0	58.5	22.0	clip_4
162	8	68.0	76.0	29.0	76.5	12.0	clip_5
185	7	24.0	70.5	26.0	72.0	45.0	clip_6
203	5	25.0	52.5	43.0	37.0	62.0	clip_7
248	7	66.0	84.0	35.0	35.0	62.0	clip_8
286	8	66.5	76.0	58.5	55.5	31.5	clip_9
333	7	28.5	46.0	60.0	38.0	63.5	clip_10
360	7	29.5	29.5	44.0	62.5	59.5	clip_11
383	7	32.0	59.5	41.5	28.0	75.5	clip_12
412	6	20.5	42.0	65.5	26.0	50.5	clip_13
470	9	25.0	65.5	18.0	76.5	20.0	clip_14
517	6	16.5	60.5	46.0	36.5	51.0	clip_15
543	7	20.0	48.5	48.5	27.5	46.0	clip_16
584	8	36.5	46.5	39.5	71.0	25.0	clip_17
627	6	4.5	39.5	63.0	20.5	74.0	clip_18
648	6	25.5	52.0	48.5	48.5	52.5	clip_19
694	7	61.0	75.5	39.0	66.0	22.0	clip_20
743	8	68.5	86.5	67.0	57.5	57.5	clip_21
785	7	97.0	92.5	54.0	81.5	5.0	clip_22
801	6	33.0	88.0	69.0	26.5	64.0	clip_23
