onset	duration	Care	Disgust	Regard	Undo	Move	trial
9	4	0.0	0.0	59.5	3.5	3.5	clip_1
37	8	64.5	45.0	45.0	58.5	10.5	clip_2
58	4	18.5	66.0	52.5	15.0	15.0	clip_3
80	4	15.5	15.5	50.0	21.5	7.0	clip_4
104	10	12.5	68.5	20.5	63.0	19.5	clip_5
134	7	62.5	45.0	62.0	62.0	15.5	clip_6
155	5	55.0	27.5	60.5	60.5	9.5	clip_7
188	6	23.0	73.5	35.5	23.0	10.5	clip_8
209	8	23.5	80.0	19.0	19.0	10.0	clip_9
237	8	60.5	75.0	15.0	5.0	0.0	clip_10
279	9	60.0	30.5	52.5	64.5	17.0	clip_11
307	5	60.0	43.5	70.0	70.0	12.0	clip_12
358	6	68.0	21.0	80.0	74.5	11.5	clip_13
374	9	32.0	24.5	39.0	54.5	5.0	clip_14
395	9	81.0	24.5	68.0	68.0	5.0	clip_15
432	8	50.0	29.5	63.0	68.5	11.5	clip_16
488	5	33.0	33.0	76.5	69.5	9.0	clip_17
512	8	69.5	19.0	74.0	74.0	10.0	clip_18
535	5	64.5	29.5	70.0	49.0	10.0	clip_19
576	6	57.5	37.0	72.0	52.0	10.0	clip_20
