onset	duration	Care	Disgust	Regard	Undo	Move	trial
4	5	0.0	0.0	48.5	0.0	0.0	clip_1
44	6	61.5	33.0	23.5	34.5	2.5	clip_2
71	6	0.0	0.0	44.0	0.0	0.0	clip_3
118	8	0.0	0.0	52.5	0.0	0.0	clip_4
142	7	0.0	0.0	45.5	0.0	0.0	clip_5
168	5	0.0	0.0	52.0	0.0	0.0	clip_6
201	8	0.0	0.0	42.0	0.0	0.0	clip_7
232	6	0.0	0.0	47.5	0.0	0.0	clip_8
267	8	0.0	0.0	41.0	0.0	0.0	clip_9
308	7	0.0	0.0	46.0	0.0	0.0	clip_10
341	10	0.0	0.0	46.0	0.0	0.0	clip_11
404	9	0.0	0.0	49.0	0.0	0.0	clip_12
440	8	50.0	50.0	56.0	0.5	0.5	clip_13
473	7	19.5	19.5	10.0	10.0	0.0	clip_14
510	9	14.0	70.0	10.5	10.5	10.5	clip_15
547	4	0.0	25.0	43.5	3.0	0.0	clip_16
596	9	50.0	73.0	19.0	48.5	0.0	clip_17
638	6	67.5	67.5	14.5	66.5	14.0	clip_18
662	5	66.5	78.5	15.5	66.0	29.0	clip_19
690	8	75.0	85.5	10.0	51.5	20.0	clip_20
720	7	60.5	77.0	19.0	59.5	30.5	clip_21
750	8	79.5	100.0	16.0	39.5	3.5	clip_22
777	5	63.0	100.0	15.5	38.5	13.5	clip_23
799	5	0.0	74.5	17.5	53.5	9.5	clip_24
