onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
9	4	20.5	51.0	23.5	12.0	0.5	clip_1
37	8	22.5	28.5	19.5	8.5	0.0	clip_2
58	4	20.0	57.0	31.5	22.0	0.0	clip_3
80	4	17.0	43.0	32.5	21.5	0.0	clip_4
104	10	27.5	52.0	38.0	26.5	0.5	clip_5
134	7	11.5	45.5	34.5	23.0	3.5	clip_6
155	5	0.0	78.5	33.5	22.5	0.0	clip_7
188	6	17.0	61.5	41.5	23.5	0.0	clip_8
209	8	23.0	61.5	32.0	19.0	0.0	clip_9
237	8	20.0	62.5	31.5	16.5	0.0	clip_10
279	9	31.5	43.0	31.0	19.0	0.0	clip_11
307	5	26.0	34.0	25.0	18.0	0.0	clip_12
358	6	33.5	47.0	35.0	23.0	0.0	clip_13
374	9	21.0	0.0	24.0	0.0	0.0	clip_14
395	9	26.5	65.5	46.5	14.5	0.0	clip_15
432	8	27.5	52.0	34.0	22.5	0.0	clip_16
488	5	44.0	55.0	28.5	20.0	0.0	clip_17
512	8	32.0	46.5	32.5	34.0	0.0	clip_18
535	5	23.0	27.0	14.5	9.0	0.0	clip_19
576	6	30.0	38.0	31.5	36.0	0.0	clip_20
