onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
30	6	14.5	29.5	20.0	22.0	0.0	clip_1
50	7	0.0	76.5	38.5	30.0	0.0	clip_2
71	5	22.0	40.5	30.5	18.0	2.5	clip_3
98	10	0.0	41.5	28.0	15.0	0.0	clip_4
128	5	41.0	64.0	38.5	38.5	13.5	clip_5
152	7	13.0	65.5	31.5	18.5	0.0	clip_6
195	8	23.0	51.0	32.5	26.0	5.0	clip_7
221	9	27.0	57.5	32.5	23.0	0.0	clip_8
255	5	20.5	59.0	29.5	41.5	0.0	clip_9
298	10	30.0	54.5	27.5	39.0	0.0	clip_10
336	4	23.0	67.5	22.5	38.0	0.0	clip_11
350	9	12.5	46.0	28.0	15.0	0.0	clip_12
376	9	29.5	43.5	31.0	38.5	1.0	clip_13
428	10	28.5	11.5	13.5	7.5	0.0	clip_14
455	4	50.5	39.0	29.0	16.0	0.0	clip_15
484	8	22.5	38.5	26.0	14.0	0.0	clip_16
510	10	22.0	44.0	25.5	0.0	0.0	clip_17
532	8	9.5	29.0	48.0	11.5	0.5	clip_18
553	7	17.5	38.0	42.0	24.0	0.0	clip_19
582	8	5.0	47.5	16.5	0.0	0.0	clip_20
