onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
27	7	9.0	0.0	36.5	6.0	0.0	clip_1
55	6	13.5	22.5	11.5	4.0	1.0	clip_2
80	8	20.5	23.0	17.0	13.5	0.0	clip_3
103	6	31.0	41.0	28.0	19.5	0.0	clip_4
135	8	31.5	33.5	16.5	9.5	0.5	clip_5
184	6	31.5	25.0	16.0	10.0	2.0	clip_6
224	8	29.5	33.0	26.5	18.0	0.0	clip_7
251	10	9.0	34.5	25.0	17.5	0.0	clip_8
282	8	18.0	47.0	25.0	16.0	0.0	clip_9
316	5	0.0	0.0	44.0	0.0	0.0	clip_10
354	8	23.0	30.0	19.5	10.0	0.0	clip_11
372	6	33.5	19.0	24.5	18.0	0.0	clip_12
405	5	35.0	26.0	19.5	0.0	0.0	clip_13
442	7	30.0	33.0	19.5	1.0	0.0	clip_14
485	5	0.0	0.0	0.0	0.0	0.0	clip_15
