onset	duration	Move	Agent	Good	Stop	Calm	trial
16	5	65.0	33.0	39.5	43.0	42.5	clip_1
48	8	38.5	35.0	52.0	35.0	67.0	clip_2
68	4	63.0	63.5	36.0	64.5	26.5	clip_3
94	7	40.0	64.5	65.0	29.5	59.5	clip_4
116	4	58.0	66.0	36.5	59.0	39.5	clip_5
165	7	44.0	61.5	41.5	46.0	57.5	clip_6
196	6	58.5	34.5	40.0	63.5	44.5	clip_7
232	10	56.0	54.5	46.0	45.5	49.0	clip_8
285	5	55.5	59.5	37.5	37.5	37.5	clip_9
307	7	64.5	68.0	33.0	71.5	23.5	clip_10
355	10	73.0	72.0	21.0	74.5	27.5	clip_11
384	9	59.0	66.0	21.0	82.0	16.5	clip_12
