onset	duration	Move	Agent	Good	Stop	Calm	trial
2	6	35.0	33.5	58.5	35.5	66.5	clip_1
23	5	37.5	43.5	49.5	37.0	55.0	clip_2
66	6	55.5	40.0	44.5	36.0	51.0	clip_3
85	7	55.0	43.0	56.5	56.5	53.0	clip_4
106	6	42.0	49.5	49.5	33.0	54.5	clip_5
124	6	58.0	43.5	50.0	33.5	48.5	clip_6
148	6	43.0	36.0	56.0	32.5	56.0	clip_7
170	10	39.0	34.0	56.5	26.0	65.0	clip_8
195	10	58.5	64.5	31.5	65.0	43.5	clip_9
238	8	44.5	36.0	40.5	25.0	55.5	clip_10
264	8	59.0	72.5	25.0	65.5	37.5	clip_11
294	9	56.0	40.5	34.5	65.0	51.0	clip_12
335	8	62.5	70.0	19.5	78.5	25.0	clip_13
359	5	56.0	27.0	47.5	28.0	56.5	clip_14
395	6	37.0	29.5	56.0	22.5	69.5	clip_15
