onset	duration	Attention	Standards	Care	Alert	Urgency	trial
3	7	82.0	78.0	73.5	12.5	84.5	clip_1
44	7	80.0	80.0	58.5	10.0	10.0	clip_2
76	5	82.0	82.0	14.0	14.0	11.0	clip_3
95	8	84.0	84.0	12.0	12.0	12.0	clip_4
139	8	86.0	86.0	13.5	13.5	13.5	clip_5
193	9	86.5	85.0	12.0	12.0	12.0	clip_6
230	7	87.5	87.5	11.5	11.5	11.5	clip_7
270	10	86.0	86.0	13.0	13.0	13.0	clip_8
316	9	87.5	87.5	9.5	9.5	9.5	clip_9
360	8	89.0	89.0	11.5	11.5	11.5	clip_10
420	10	87.5	87.5	14.0	14.0	20.5	clip_11
466	8	88.0	88.0	11.5	11.5	11.5	clip_12
493	8	89.5	89.5	12.0	12.0	12.0	clip_13
525	9	88.0	88.0	12.5	12.5	12.5	clip_14
559	5	89.0	89.0	13.0	13.0	13.0	clip_15
576	8	87.0	87.0	12.5	12.5	12.5	clip_16
590	4	87.5	87.5	13.0	13.0	20.0	clip_17
628	8	90.5	90.5	12.5	12.5	17.0	clip_18
653	5	87.5	87.5	15.5	15.5	25.0	clip_19
670	6	88.5	88.5	14.0	11.0	21.5	clip_20
689	3	90.5	90.5	12.0	12.0	18.0	clip_21
721	6	88.5	88.5	13.0	13.0	17.5	clip_22
737	5	88.0	88.0	13.0	13.0	18.0	clip_23
766	8	88.5	88.5	15.0	15.0	26.0	clip_24
