onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
6	5	46.5	0.0	0.0	0.0	0.0	clip_1
29	5	0.0	0.0	0.0	0.0	0.0	clip_2
60	6	3.0	3.0	3.0	3.0	3.0	clip_3
82	7	0.0	0.0	0.0	0.0	0.0	clip_4
113	6	0.0	0.0	0.0	0.0	0.0	clip_5
134	6	0.0	0.0	0.0	0.0	0.0	clip_6
166	9	5.0	5.0	5.0	5.0	5.0	clip_7
196	8	5.0	5.0	5.0	5.0	5.0	clip_8
239	8	0.0	0.0	0.0	0.0	0.0	clip_9
267	9	0.0	0.0	0.0	0.0	0.0	clip_10
307	10	0.0	0.0	0.0	0.0	0.0	clip_11
352	8	0.0	0.0	0.0	0.0	0.0	clip_12
392	6	0.0	0.0	0.0	0.0	0.0	clip_13
405	7	0.0	0.0	0.0	0.0	0.0	clip_14
443	8	0.0	0.0	0.0	0.0	0.0	clip_15
507	9	0.0	0.0	0.0	0.0	0.0	clip_16
532	7	0.0	0.0	0.0	0.0	0.0	clip_17
570	7	0.0	0.0	0.0	0.0	0.0	clip_18
598	9	3.0	3.0	3.0	3.0	3.0	clip_19
645	8	0.0	0.0	0.0	0.0	0.0	clip_20
674	5	0.0	0.0	0.0	0.0	0.0	clip_21
707	9	0.0	0.0	0.0	0.0	0.0	clip_22
740	7	16.0	16.0	16.0	16.0	16.0	clip_23
776	10	0.0	0.0	0.0	0.0	0.0	clip_24
803	5	0.0	0.0	0.0	0.0	0.0	clip_25
829	7	5.5	5.5	5.5	5.5	5.5	clip_26
864	6	0.0	0.0	0.0	0.0	0.0	clip_27
910	8	0.0	0.0	0.0	0.0	0.0	clip_28
955	10	0.0	0.0	0.0	0.0	0.0	clip_29
972	7	0.0	0.0	0.0	0.0	0.0	clip_30
986	6	0.0	0.0	0.0	0.0	0.0	clip_31
