onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
2	6	0.0	0.0	0.0	0.0	0.0	clip_1
23	5	4.0	4.0	4.0	4.0	4.0	clip_2
66	6	0.0	0.0	0.0	0.0	0.0	clip_3
85	7	0.0	0.0	0.0	0.0	0.0	clip_4
106	6	0.0	0.0	0.0	0.0	0.0	clip_5
124	6	15.5	15.5	15.5	15.5	15.5	clip_6
148	6	18.0	18.0	18.0	18.0	18.0	clip_7
170	10	6.5	6.5	6.5	6.5	6.5	clip_8
195	10	3.5	3.5	3.5	3.5	3.5	clip_9
238	8	0.0	0.0	0.0	0.0	0.0	clip_10
264	8	100.0	14.5	14.5	14.5	14.5	clip_11
294	9	100.0	0.0	0.0	0.0	0.0	clip_12
335	8	100.0	0.0	0.0	0.0	0.0	clip_13
359	5	0.0	0.0	0.0	0.0	0.0	clip_14
395	6	0.0	0.0	0.0	0.0	0.0	clip_15
