onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
9	4	0	0	0	0	0	clip_1
37	8	0	0	0	0	0	clip_2
58	4	0	0	0	0	0	clip_3
80	4	0	0	0	0	0	clip_4
104	10	0	0	0	0	0	clip_5
134	7	0	0	0	0	0	clip_6
155	5	0	0	0	0	0	clip_7
188	6	0	0	0	0	0	clip_8
209	8	0	0	0	0	0	clip_9
237	8	0	0	0	0	0	clip_10
279	9	0	0	0	0	0	clip_11
307	5	0	0	0	0	0	clip_12
358	6	0	0	0	0	0	clip_13
374	9	0	0	0	0	0	clip_14
395	9	0	0	0	0	0	clip_15
432	8	1	1	1	1	1	clip_16
488	5	0	0	0	0	0	clip_17
512	8	0	0	0	0	0	clip_18
535	5	0	0	0	0	0	clip_19
576	6	0	0	0	0	0	clip_20
