onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
3	7	0.0	0.0	0.0	0.0	0.0	clip_1
44	7	0.0	0.0	0.0	0.0	0.0	clip_2
76	5	0.0	0.0	0.0	0.0	0.0	clip_3
95	8	0.0	0.0	0.0	0.0	0.0	clip_4
139	8	0.0	0.0	0.0	0.0	0.0	clip_5
193	9	0.0	0.0	0.0	0.0	0.0	clip_6
230	7	0.0	0.0	0.0	0.0	0.0	clip_7
270	10	0.0	0.0	0.0	0.0	0.0	clip_8
316	9	0.0	0.0	0.0	0.0	0.0	clip_9
360	8	0.0	0.0	0.0	0.0	0.0	clip_10
420	10	0.0	0.0	0.0	0.0	0.0	clip_11
466	8	0.0	0.0	0.0	0.0	0.0	clip_12
493	8	0.0	0.0	0.0	0.0	0.0	clip_13
525	9	0.0	0.0	0.0	0.0	0.0	clip_14
559	5	0.0	0.0	0.0	0.0	0.0	clip_15
576	8	0.0	0.0	0.0	0.0	0.0	clip_16
590	4	0.0	0.0	0.0	0.0	0.0	clip_17
628	8	0.0	0.0	0.0	0.0	0.0	clip_18
653	5	0.0	0.0	0.0	0.0	0.0	clip_19
670	6	15.0	15.0	15.0	15.0	15.0	clip_20
689	3	12.5	12.5	12.5	12.5	12.5	clip_21
721	6	22.5	22.5	22.5	22.5	22.5	clip_22
737	5	13.0	13.0	13.0	13.0	13.0	clip_23
766	8	19.5	19.5	19.5	19.5	19.5	clip_24
