onset	duration	Care	Disgust	Regard	Undo	Move	trial
16	5	50.0	38.5	38.5	38.5	31.5	clip_1
45	6	25.5	25.5	30.0	30.0	30.0	clip_2
80	6	29.0	64.5	40.0	31.0	31.0	clip_3
110	7	23.0	77.5	25.5	25.5	25.5	clip_4
140	6	26.5	70.5	26.0	26.0	26.0	clip_5
173	7	19.0	50.5	29.0	29.0	29.0	clip_6
193	6	27.5	83.5	24.5	24.5	24.5	clip_7
225	5	25.0	72.5	31.0	31.0	31.0	clip_8
243	5	20.5	67.5	22.5	22.5	22.5	clip_9
250	8	21.5	77.5	23.5	17.5	17.5	clip_10
270	4	0.0	76.5	21.0	21.0	21.0	clip_11
310	6	18.0	76.5	16.0	15.5	15.5	clip_12
328	10	9.0	80.0	12.5	24.0	24.0	clip_13
360	6	13.0	83.0	15.5	15.5	15.5	clip_14
397	7	15.5	83.5	10.5	10.5	10.5	clip_15
440	5	8.5	26.0	26.0	26.0	26.0	clip_16
452	8	0.0	83.0	17.0	17.0	12.5	clip_17
478	6	6.5	81.0	23.0	23.0	23.0	clip_18
