onset	duration	Care	Disgust	Regard	Undo	Move	trial
8	4	0.5	0.5	53.5	12.5	12.5	clip_1
51	8	0.5	0.5	50.0	35.5	35.5	clip_2
80	6	11.5	11.5	41.0	35.5	11.0	clip_3
108	6	50.0	50.0	50.0	37.0	16.0	clip_4
156	3	50.0	18.0	54.0	25.0	25.0	clip_5
209	5	13.5	13.5	63.0	18.0	18.0	clip_6
228	7	80.0	80.0	13.5	68.0	39.0	clip_7
252	6	50.0	75.0	21.0	67.0	38.5	clip_8
288	6	37.5	26.5	26.5	26.5	26.5	clip_9
330	6	14.0	77.5	14.5	67.5	2.5	clip_10
355	8	93.0	93.0	4.0	48.0	40.0	clip_11
390	6	77.5	77.5	13.5	59.5	19.0	clip_12
440	8	78.0	78.0	7.0	76.5	18.0	clip_13
468	9	11.5	89.0	6.0	65.5	40.5	clip_14
501	6	10.5	85.5	11.0	72.5	16.0	clip_15
543	6	65.0	100.0	0.0	64.0	36.0	clip_16
569	8	83.0	94.5	3.5	90.5	45.5	clip_17
611	8	71.5	71.5	29.0	60.0	28.0	clip_18
645	8	50.0	82.0	12.0	40.5	24.5	clip_19
675	8	86.5	37.5	59.5	64.0	13.0	clip_20
719	6	80.0	43.0	52.0	64.5	26.5	clip_21
762	8	85.5	40.0	57.0	55.0	14.0	clip_22
790	5	88.0	18.0	69.5	40.0	8.0	clip_23
