onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
6	5	4.5	63.0	0.0	60.5	34.5	clip_1
29	5	3.5	46.0	11.0	88.5	51.5	clip_2
60	6	25.0	33.0	0.0	49.5	30.0	clip_3
82	7	37.5	56.0	25.0	45.0	20.0	clip_4
113	6	85.5	14.5	90.0	3.0	14.5	clip_5
134	6	100.0	0.0	100.0	0.0	7.5	clip_6
166	9	99.0	14.0	95.0	0.0	2.5	clip_7
196	8	87.0	17.5	58.5	23.5	18.5	clip_8
239	8	85.0	48.5	37.0	0.0	22.0	clip_9
267	9	29.5	44.0	35.5	0.0	19.0	clip_10
307	10	78.5	0.0	97.0	0.0	5.5	clip_11
352	8	99.0	46.5	100.0	4.0	13.5	clip_12
392	6	70.5	0.0	91.0	0.0	14.0	clip_13
405	7	69.0	0.0	81.0	0.0	8.5	clip_14
443	8	5.0	21.5	100.0	0.0	8.0	clip_15
507	9	74.5	50.5	60.5	0.0	15.5	clip_16
532	7	20.5	5.5	96.5	0.0	0.0	clip_17
570	7	26.0	69.5	45.5	0.0	0.0	clip_18
598	9	38.5	76.5	18.5	0.0	12.0	clip_19
645	8	77.0	20.0	81.0	0.0	10.5	clip_20
674	5	22.0	72.5	19.5	0.0	12.5	clip_21
707	9	83.0	60.5	27.0	0.0	12.0	clip_22
740	7	19.5	0.5	34.0	2.5	4.5	clip_23
776	10	76.0	9.5	95.5	1.5	1.5	clip_24
803	5	84.0	0.0	100.0	0.0	14.0	clip_25
829	7	38.0	67.0	68.5	0.0	3.5	clip_26
864	6	70.5	5.0	92.0	0.0	8.0	clip_27
910	8	93.5	63.5	100.0	0.0	8.5	clip_28
955	10	65.0	60.5	100.0	3.5	16.5	clip_29
972	7	10.5	0.0	100.0	0.0	0.0	clip_30
986	6	33.5	46.0	93.5	0.5	32.5	clip_31
