onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
8	4	5.5	0.0	0.0	0.0	0.0	clip_1
51	8	0.0	18.5	0.0	4.5	0.0	clip_2
80	6	0.0	15.5	0.0	2.5	0.0	clip_3
108	6	4.5	0.0	0.0	0.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	0.0	0.0	0.0	0.0	0.0	clip_6
228	7	3.5	16.5	0.0	0.0	0.0	clip_7
252	6	0.0	55.0	0.0	5.5	0.0	clip_8
288	6	0.0	53.0	0.0	0.0	0.0	clip_9
330	6	0.0	0.0	0.0	23.5	0.0	clip_10
355	8	4.5	0.0	0.0	0.0	9.5	clip_11
390	6	0.0	0.0	0.0	0.0	0.0	clip_12
440	8	5.0	0.0	0.0	0.0	0.0	clip_13
468	9	14.0	14.0	0.0	19.5	0.0	clip_14
501	6	0.0	41.0	0.0	5.0	0.0	clip_15
543	6	19.0	31.5	0.0	31.0	0.0	clip_16
569	8	7.5	16.0	0.0	23.0	0.0	clip_17
611	8	4.0	0.0	0.0	0.0	0.0	clip_18
645	8	0.0	0.0	0.0	0.0	0.0	clip_19
675	8	4.5	0.0	0.0	0.0	0.0	clip_20
719	6	0.0	0.0	0.0	0.0	0.0	clip_21
762	8	50.5	0.0	0.0	0.0	0.0	clip_22
790	5	0.0	22.5	0.0	0.0	0.0	clip_23
