onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
15	6	0.0	7.0	7.0	0.0	0.0	clip_1
38	6	0.0	0.0	0.0	0.0	0.0	clip_2
94	5	0.0	0.0	0.0	0.0	27.0	clip_3
160	8	28.0	28.0	0.0	0.0	25.5	clip_4
190	6	0.5	0.5	0.5	0.5	100.0	clip_5
225	7	0.0	0.0	0.0	0.0	100.0	clip_6
265	7	0.0	0.0	0.0	0.0	100.0	clip_7
298	7	38.0	38.0	0.0	0.0	0.0	clip_8
371	7	0.0	0.0	0.0	0.0	0.0	clip_9
420	5	28.5	0.0	0.5	0.5	0.5	clip_10
452	6	24.0	0.0	0.0	0.0	0.0	clip_11
510	6	0.0	29.5	0.0	0.0	0.0	clip_12
536	6	0.0	42.5	0.0	0.0	0.0	clip_13
575	7	29.5	100.0	24.0	0.0	0.0	clip_14
593	7	100.0	100.0	0.0	0.0	0.0	clip_15
633	7	100.0	0.0	0.0	0.0	0.0	clip_16
663	7	50.0	0.0	0.0	33.5	0.0	clip_17
706	7	72.5	67.5	6.5	0.0	55.5	clip_18
