onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
3	7	50.0	0.0	12.0	0.0	0.0	clip_1
44	7	0.0	0.0	0.0	0.0	0.0	clip_2
76	5	0.0	0.0	0.0	0.0	0.0	clip_3
95	8	0.0	0.0	0.0	0.0	0.0	clip_4
139	8	4.0	0.0	0.0	0.0	0.0	clip_5
193	9	0.0	0.0	0.0	0.0	0.0	clip_6
230	7	0.0	0.0	0.0	0.0	0.0	clip_7
270	10	10.0	21.0	14.0	0.0	0.0	clip_8
316	9	0.0	0.0	0.0	0.0	0.0	clip_9
360	8	6.5	0.0	0.0	0.0	0.0	clip_10
420	10	0.0	0.0	10.5	0.0	0.0	clip_11
466	8	0.0	0.0	0.0	0.0	0.0	clip_12
493	8	0.0	0.0	0.0	0.0	0.0	clip_13
525	9	0.0	0.0	0.0	0.0	0.0	clip_14
559	5	0.0	0.0	0.0	0.0	0.0	clip_15
576	8	0.0	0.0	13.5	0.0	0.0	clip_16
590	4	0.0	0.0	0.0	0.0	0.0	clip_17
628	8	23.5	11.0	0.0	0.0	0.0	clip_18
653	5	0.0	0.0	0.0	0.0	0.0	clip_19
670	6	0.0	0.0	0.0	0.0	0.0	clip_20
689	3	0.0	0.0	0.0	0.0	0.0	clip_21
721	6	0.0	0.0	4.0	0.0	0.0	clip_22
737	5	0.0	61.0	0.0	0.0	0.0	clip_23
766	8	0.0	0.0	0.0	0.0	0.0	clip_24
