onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
15	6	72.5	72.5	83.0	11.0	11.0	clip_1
38	6	50.0	50.0	100.0	82.0	0.0	clip_2
94	5	12.0	8.0	9.0	9.0	51.5	clip_3
160	8	80.5	22.5	22.5	2.5	4.0	clip_4
190	6	9.5	0.0	7.0	0.0	71.0	clip_5
225	7	23.5	23.5	17.5	17.5	90.5	clip_6
265	7	35.0	23.0	12.5	3.0	74.5	clip_7
298	7	72.0	72.0	72.0	53.5	7.0	clip_8
371	7	60.5	50.5	30.0	20.5	16.0	clip_9
420	5	50.0	27.0	17.0	36.5	22.5	clip_10
452	6	50.0	31.5	31.5	15.5	15.5	clip_11
510	6	69.5	69.5	69.5	60.0	26.5	clip_12
536	6	89.5	89.5	69.5	51.0	24.5	clip_13
575	7	35.5	63.0	73.5	64.0	0.0	clip_14
593	7	81.0	93.5	100.0	92.5	0.0	clip_15
633	7	50.0	72.0	72.0	79.0	19.5	clip_16
663	7	80.5	59.0	59.0	68.5	16.5	clip_17
706	7	50.0	50.0	36.0	11.5	54.5	clip_18
