onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
3	7	50.0	54.0	65.5	67.0	81.0	clip_1
44	7	30.0	60.5	41.5	67.0	38.0	clip_2
76	5	34.0	50.5	56.0	76.0	45.5	clip_3
95	8	75.0	49.0	16.0	70.5	87.5	clip_4
139	8	19.0	60.5	26.0	77.5	37.5	clip_5
193	9	28.0	51.5	58.5	49.0	28.0	clip_6
230	7	24.0	55.0	53.0	68.0	31.0	clip_7
270	10	81.0	83.5	37.5	20.5	66.5	clip_8
316	9	19.0	73.0	30.5	77.5	80.5	clip_9
360	8	19.0	52.0	27.5	77.0	42.5	clip_10
420	10	68.0	47.5	65.0	82.0	100.0	clip_11
466	8	20.5	51.0	23.5	50.0	18.5	clip_12
493	8	16.5	74.0	47.5	75.5	69.0	clip_13
525	9	45.0	37.0	29.0	67.0	79.0	clip_14
559	5	4.5	62.5	13.5	79.0	35.0	clip_15
576	8	75.5	88.5	46.5	89.0	100.0	clip_16
590	4	88.5	58.0	38.5	50.0	82.5	clip_17
628	8	17.0	51.5	68.0	46.0	53.5	clip_18
653	5	19.0	19.0	50.0	50.0	12.5	clip_19
670	6	82.5	49.5	75.5	77.0	61.0	clip_20
689	3	60.5	99.5	46.0	69.5	74.5	clip_21
721	6	78.0	100.0	43.5	71.5	84.0	clip_22
737	5	47.5	15.5	46.5	57.5	65.5	clip_23
766	8	80.0	86.0	43.5	22.0	83.0	clip_24
