onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
16	5	0.0	40.0	46.0	73.5	12.5	clip_1
45	6	0.0	6.5	8.0	83.0	14.5	clip_2
80	6	48.0	90.0	50.5	23.5	61.0	clip_3
110	7	22.0	22.0	49.0	64.5	41.5	clip_4
140	6	33.0	45.5	52.0	38.5	31.0	clip_5
173	7	45.0	10.5	53.5	11.5	52.0	clip_6
193	6	85.0	85.0	36.5	0.0	85.0	clip_7
225	5	86.5	8.0	54.5	3.0	51.0	clip_8
243	5	38.5	44.5	48.5	48.5	35.0	clip_9
250	8	92.0	36.5	57.5	82.0	71.0	clip_10
270	4	0.0	56.0	45.0	89.0	79.0	clip_11
310	6	58.0	58.0	46.5	68.5	55.5	clip_12
328	10	83.0	49.5	54.5	85.0	71.0	clip_13
360	6	58.0	67.5	31.5	84.5	78.0	clip_14
397	7	66.0	43.5	27.0	39.5	28.0	clip_15
440	5	100.0	39.0	45.0	1.5	89.0	clip_16
452	8	18.5	55.5	88.0	92.5	57.0	clip_17
478	6	0.0	35.5	22.5	100.0	56.5	clip_18
