onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
15	6	100.0	0.0	0.0	59.0	64.0	clip_1
38	6	100.0	0.0	0.0	74.0	27.5	clip_2
94	5	0.0	0.0	0.0	0.0	0.0	clip_3
160	8	70.5	0.0	0.0	0.0	48.0	clip_4
190	6	21.5	0.0	0.0	0.0	0.0	clip_5
225	7	0.0	0.0	0.0	0.0	0.0	clip_6
265	7	24.5	0.0	0.0	0.0	0.0	clip_7
298	7	100.0	0.0	87.5	88.0	80.0	clip_8
371	7	0.0	0.0	0.0	0.0	0.0	clip_9
420	5	0.0	0.0	0.0	0.0	0.0	clip_10
452	6	0.0	0.0	0.0	0.0	0.0	clip_11
510	6	100.0	0.0	0.0	68.0	68.0	clip_12
536	6	100.0	100.0	100.0	68.0	68.0	clip_13
575	7	100.0	0.0	60.0	79.0	61.5	clip_14
593	7	44.5	100.0	26.5	59.5	100.0	clip_15
633	7	100.0	100.0	22.5	63.0	100.0	clip_16
663	7	26.0	100.0	21.0	21.0	100.0	clip_17
706	7	0.0	0.0	0.0	0.0	68.5	clip_18
