onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
6	5	52.5	0.0	0.0	0.0	0.0	clip_1
29	5	50.0	0.0	0.0	0.0	0.0	clip_2
60	6	4.5	0.0	0.0	0.0	0.0	clip_3
82	7	0.0	0.0	0.0	0.0	0.0	clip_4
113	6	64.0	0.0	0.0	0.0	0.0	clip_5
134	6	44.5	44.5	0.0	0.0	0.0	clip_6
166	9	58.5	0.0	0.0	0.0	0.0	clip_7
196	8	8.0	0.0	0.0	0.0	0.0	clip_8
239	8	20.5	0.0	0.0	0.0	0.0	clip_9
267	9	0.0	0.0	0.0	0.0	0.0	clip_10
307	10	0.0	0.0	0.0	0.0	0.0	clip_11
352	8	57.5	0.0	0.0	0.0	0.0	clip_12
392	6	42.5	0.0	0.0	0.0	0.0	clip_13
405	7	50.0	0.0	0.0	0.0	0.0	clip_14
443	8	50.0	0.0	0.0	0.0	0.0	clip_15
507	9	0.0	0.0	0.0	0.0	0.0	clip_16
532	7	0.0	0.0	0.0	0.0	0.0	clip_17
570	7	0.0	0.0	0.0	0.0	0.0	clip_18
598	9	50.0	12.0	0.0	0.0	0.0	clip_19
645	8	0.0	0.0	0.0	0.0	0.0	clip_20
674	5	37.0	0.0	0.0	0.0	0.0	clip_21
707	9	0.0	0.0	0.0	0.0	0.0	clip_22
740	7	0.0	0.0	66.5	0.0	0.0	clip_23
776	10	50.0	0.0	0.0	0.0	0.0	clip_24
803	5	17.5	0.0	64.0	0.0	0.0	clip_25
829	7	0.0	0.0	0.0	0.0	0.0	clip_26
864	6	0.0	0.0	0.0	0.0	0.0	clip_27
910	8	1.5	1.5	1.5	0.0	55.5	clip_28
955	10	37.5	7.0	7.0	0.0	52.0	clip_29
972	7	43.0	47.0	48.0	42.0	77.0	clip_30
986	6	0.0	0.0	0.0	0.0	0.0	clip_31
